Model,Correlation,Std_Model,Std_Ref,TSS
CHIRPS,1.0,4.169868734576292,4.169868734576292,1.0
ACCESS-CM2,0.7581591479829257,5.300512088503844,4.169868734576292,0.4133355952167981
ACCESS-ESM1-5,0.678689344444615,7.007962517618104,4.169868734576292,0.12157962256955646
AWI-ESM-1-1-LR,0.533243296246213,4.199216498133808,4.169868734576292,0.3143860196909807
BCC-ESM1,0.7583391240358955,4.734329270234102,4.169868734576292,0.46751928902997064
CESM2-WACCM,0.6351879047197895,5.055298647802863,4.169868734576292,0.3182225938975414
CMCC-CM2-HR4,0.5439713979521532,4.213570907818528,4.169868734576292,0.3211311503440747
EC-Earth3-CC,0.770311435907327,4.513359498624052,4.169868734576292,0.49800217405570446
FGOALS-f3-L,0.6996087666976438,5.734078422856253,4.169868734576292,0.30470662195507126
GFDL-ESM4,0.7233327599793831,4.0260426530454705,4.169868734576292,0.4825839754320729
GISS-E2-1-G,0.5064437572699767,10.430918660451665,4.169868734576292,-0.5368403458486914
IITM-ESM,0.5615902752461737,3.032630001782765,4.169868734576292,0.40331461631478194
INM-CM4-8,0.6937260079359935,4.7166395230740985,4.169868734576292,0.40415546385996215
IPSL-CM6A-LR,0.6702557172792687,3.1422867046073857,4.169868734576292,0.4719382175812914
KACE-1-0-G,0.8387862600507657,5.35460844479797,4.169868734576292,0.5026273907798671
KIOST-ESM,0.8418154482399207,3.217970376037968,4.169868734576292,0.6151233007162826
MIROC6,0.7257853823653483,4.638616260887771,4.169868734576292,0.44200514927964196
MPI-ESM-1-2-HAM,0.49039080891033543,4.740670403538337,4.169868734576292,0.23270786449358227
NESM3,0.663738872688208,5.096713699088471,4.169868734576292,0.3399204833113716
SAM0-UNICON,0.822309262514601,4.98933511168526,4.169868734576292,0.5184183194446252
TaiESM1,0.4018668048030481,8.074990984095804,4.169868734576292,-0.263651789380583
AMME,0.776490644695551,4.281720378136541,4.169868734576292,0.5205581591208431
BMME,0.8646450470147027,3.7404239604265705,4.169868734576292,0.6440248687064951
RMME,0.7361921206363357,4.557109452843994,4.169868734576292,0.4590574399416282
