Model,Correlation,Std_Model,Std_Ref,TSS,Rank
KIOST-ESM,0.984877590598411,5.457720164681412,4.545963707243041,0.8043769708805286,1
EC-Earth3-CC,0.9758124548518855,5.263435727394597,4.545963707243041,0.798854475815854,2
CMCC-CM2-HR4,0.9609867870402734,4.860128384032737,4.545963707243041,0.7900063128566746,3
MPI-ESM-1-2-HAM,0.9534227583471592,4.757234969119134,4.545963707243041,0.7767919521697535,4
CESM2-WACCM,0.9526489363540172,4.847482054702926,4.545963707243041,0.7704541256875741,5
IITM-ESM,0.9608571644227664,5.248903110315209,4.545963707243041,0.7609381161502469,6
AWI-ESM-1-1-LR,0.9383264863233873,4.551609604204601,4.545963707243041,0.7515027548773624,7
ACCESS-ESM1-5,0.9504253817517212,5.267424436971732,4.545963707243041,0.7353574080506058,8
INM-CM4-8,0.925001137123386,4.4121693294898074,4.545963707243041,0.729399478983171,9
SAM0-UNICON,0.9447481283674387,5.384320687203906,4.545963707243041,0.7128653949855387,10
FGOALS-f3-L,0.9578768033136069,5.7561185007728595,4.545963707243041,0.7020588689490066,11
GFDL-ESM4,0.9651238011826117,6.005864099982793,4.545963707243041,0.6875219311049908,12
TaiESM1,0.9404268324104477,5.612437686269018,4.545963707243041,0.682089598461731,13
NESM3,0.9050904140766843,4.991011702543507,4.545963707243041,0.6698585744698503,14
IPSL-CM6A-LR,0.9753229652276638,6.350572578965616,4.545963707243041,0.6634506714156648,15
BCC-ESM1,0.8455639769787615,3.9916796298593487,4.545963707243041,0.6217948454589786,16
ACCESS-CM2,0.92853209634807,6.138220088063564,4.545963707243041,0.6027090591331148,17
GISS-E2-1-G,0.8928417961222348,5.962839909099854,4.545963707243041,0.5651108368275493,18
KACE-1-0-G,0.8444758229887451,5.23196107273296,4.545963707243041,0.5636756348921875,19
MIROC6,0.824970679369247,6.430187676576894,4.545963707243041,0.422527935191801,20
