Model,Correlation,Std_Model,Std_Ref,TSS,Rank
EC-Earth3-CC,0.9839302319608014,5.215818647985341,5.0872827547991495,0.8704045637015341,1
CMCC-CM2-HR4,0.9772800652198003,5.308830424421036,5.0872827547991495,0.8429724747992833,2
MPI-ESM-1-2-HAM,0.9705517629220359,5.177616052789141,5.0872827547991495,0.8264235319236197,3
KIOST-ESM,0.983055064863525,5.836818564118301,5.0872827547991495,0.8259444033951653,4
SAM0-UNICON,0.9728019356099514,5.501561978156763,5.0872827547991495,0.8190892748279417,5
GFDL-ESM4,0.9782051986335049,5.930268111486712,5.0872827547991495,0.8021736163841271,6
IPSL-CM6A-LR,0.9851147164952981,6.16210569853809,5.0872827547991495,0.7991292499692463,7
AWI-ESM-1-1-LR,0.956988280084342,4.762324532410258,5.0872827547991495,0.7943196969136246,8
CESM2-WACCM,0.9571545163510257,5.224286876639901,5.0872827547991495,0.789377175233465,9
FGOALS-f3-L,0.976213395375071,6.010562003251881,5.0872827547991495,0.7888780601243501,10
INM-CM4-8,0.9514512288181839,4.536525949084142,5.0872827547991495,0.7782950521042155,11
IITM-ESM,0.9643963281469325,6.022685887126558,5.0872827547991495,0.7569888901256825,12
NESM3,0.9258564938485399,4.930802960424362,5.0872827547991495,0.7310465030169142,13
ACCESS-CM2,0.9633063198997895,6.3271208663213585,5.0872827547991495,0.7255287180688256,14
ACCESS-ESM1-5,0.9494484841479612,6.108842231540089,5.0872827547991495,0.715633659456637,15
TaiESM1,0.9380671204988553,5.9173179837169245,5.0872827547991495,0.7078558862967945,16
KACE-1-0-G,0.9051490365733876,5.385988015246096,5.0872827547991495,0.6804002065427224,17
BCC-ESM1,0.892687433220453,5.061241065537099,5.0872827547991495,0.6732335114126831,18
GISS-E2-1-G,0.9028736118027699,6.286482518813299,5.0872827547991495,0.6155463015332652,19
MIROC6,0.8345050220100183,6.315419344675375,5.0872827547991495,0.5156573865067318,20
