Model,Correlation,Std_Model,Std_Ref,TSS
ERA5,1.0,8.527306450867487,8.527306450867487,1.0
ACCESS-CM2,0.9745476357389163,8.690606903280685,8.527306450867487,0.8383734194500553
ACCESS-ESM1-5,0.9401736023634008,8.96459270489594,8.527306450867487,0.7466046716809849
AWI-ESM-1-1-LR,0.9730586981889526,7.8701702928042465,8.527306450867487,0.8331633860701309
BCC-ESM1,0.9446966458986992,9.770811869447261,8.527306450867487,0.7279693226411152
CESM2-WACCM,0.9854208837337887,8.417025532095025,8.527306450867487,0.8796912458373656
CMCC-CM2-HR4,0.9844030041635404,8.935692616430623,8.527306450867487,0.8677473545551548
EC-Earth3-CC,0.9937810903097684,9.115809943392751,8.527306450867487,0.9049759645462978
FGOALS-f3-L,0.9887577425302291,9.21748158228828,8.527306450867487,0.8757922032730104
GFDL-ESM4,0.9845338300158427,8.928585423276942,8.527306450867487,0.8684659286770764
GISS-E2-1-G,0.9740508876472109,7.8217639754133605,8.527306450867487,0.835000027550638
IITM-ESM,0.9729440780063301,9.245728992796677,8.527306450867487,0.8186595048908905
INM-CM4-8,0.969216125260963,8.403909958941139,8.527306450867487,0.8255204586783667
IPSL-CM6A-LR,0.9876526835550085,10.246292107727768,8.527306450867487,0.8125038087122094
KACE-1-0-G,0.9563404901969024,8.685652785485571,8.527306450867487,0.7887119326212318
KIOST-ESM,0.9847695387352579,8.678170227022473,8.527306450867487,0.8748743955691128
MIROC6,0.9780238919838603,8.444722380587192,8.527306450867487,0.8523173226405956
MPI-ESM-1-2-HAM,0.982892584655681,8.692220784066649,8.527306450867487,0.8672397859740258
NESM3,0.9807661288152647,8.209131699320997,8.527306450867487,0.8613914940957899
SAM0-UNICON,0.985452768510367,9.192716479437369,8.527306450867487,0.8631535301927958
TaiESM1,0.9846140944741998,9.245111544268793,8.527306450867487,0.8577890576473356
AMME,0.9863322155350468,8.74897555008243,8.527306450867487,0.8801627905940854
BMME,0.9904660553811511,8.896582631302884,8.527306450867487,0.8956712844836296
RMME,0.9843119965976141,8.705174353780468,8.527306450867487,0.8725920929974226
