Model,Correlation,Std_Model,Std_Ref,TSS,Rank
SAM0-UNICON,0.9633361400407099,2.583687061577372,2.799805789862936,0.8081329899477232,1
EC-Earth3-CC,0.969263117180549,2.0667400594084815,2.799805789862936,0.761324683207641,2
TaiESM1,0.9303818397696939,2.5308394407212513,2.799805789862936,0.7401066330688331,3
AWI-ESM-1-1-LR,0.9111882979423984,2.4958091256336443,2.799805789862936,0.7083438813722427,4
CESM2-WACCM,0.9356264147731691,1.960595842112993,2.799805789862936,0.7000000703230351,5
INM-CM4-8,0.9237967421214182,3.113895902021281,2.799805789862936,0.6982642762160509,6
IPSL-CM6A-LR,0.9306290950593361,1.721746808226063,2.799805789862936,0.6582534770663544,7
FGOALS-f3-L,0.8728601570019805,1.9368101453027855,2.799805789862936,0.6319576928547359,8
BCC-ESM1,0.8651624131095105,1.862581176071336,2.799805789862936,0.6182556546812619,9
KIOST-ESM,0.9065248093413479,1.588761831615417,2.799805789862936,0.6171282322487015,10
CMCC-CM2-HR4,0.8435543877728616,2.0674568023741955,2.799805789862936,0.6130455994827232,11
ACCESS-CM2,0.9140547301507833,1.3008447660361624,2.799805789862936,0.5719253289331832,12
NESM3,0.8546597918519147,1.477735872344633,2.799805789862936,0.566183020849297,13
GFDL-ESM4,0.8040024750899132,1.4900817105651394,2.799805789862936,0.5376950475030513,14
MIROC6,0.9053193650569366,1.117374614016087,2.799805789862936,0.5327393803131366,15
GISS-E2-1-G,0.7434777953115909,2.374661077495239,2.799805789862936,0.5213574027775226,16
MPI-ESM-1-2-HAM,0.8888426954095201,1.0627748475871646,2.799805789862936,0.5155940652966258,17
ACCESS-ESM1-5,0.8339688932987995,1.1965611157374758,2.799805789862936,0.5153268173442915,18
IITM-ESM,0.8513450330313351,1.1362441288887513,2.799805789862936,0.513329878110146,19
KACE-1-0-G,0.88612939655189,1.035720188553126,2.799805789862936,0.5094692046377662,20
